GestureType,No,ShE,ShV,LE,SzE,BE,BV,TE,TV,VE,VV,SkE,SkOE
triangle,6,35.455,10.852,40.634,21129.724,.130,.370,766.000,198.192,.386,.286,0,253.378
triangle,7,39.678,16.876,152.988,32858.617,.160,.487,362.000,136.401,.512,.441,0,653.540
triangle,8,23.744,9.874,36.946,5729.077,.150,.472,616.000,229.802,.829,.533,0,39.652
triangle,9,46.705,21.646,327.892,58837.469,.147,.358,367.000,148.996,.329,.339,0,16.731
triangle,10,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
v,1,39.075,17.342,245.106,47390.920,.025,.052,134.000,30.373,.750,.483,0,.000
v,2,32.306,5.778,20.768,17845.296,.093,.386,116.000,44.486,.828,.504,0,150.423
v,3,12.558,7.533,77.518,11522.318,.048,.215,34.000,16.743,.240,.206,0,.000
v,4,16.734,2.204,15.443,6193.561,.091,.409,99.000,29.493,.268,.186,0,25.444
v,5,31.930,10.635,73.600,34902.010,.100,.412,151.000,52.863,.928,.631,0,89.347
v,6,14.070,8.840,79.877,10839.496,.076,.330,49.000,19.746,.319,.392,0,3.163
v,7,28.423,9.089,64.978,19197.339,.083,.311,49.000,29.383,.475,.346,0,23.965
v,8,9.977,5.352,62.931,6350.205,.018,.039,49.000,6.423,.174,.195,0,.000
v,9,29.244,12.998,178.365,49222.256,.073,.337,16.000,12.469,.562,.487,0,.133
v,10,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
x,1,30.800,17.888,285.859,36013.475,.133,.380,1766.000,322.953,1.093,.629,0,44.559
x,2,19.425,9.585,67.386,12361.976,.154,.479,283.000,87.911,.583,.427,0,149.623
x,3,22.697,12.505,145.792,18243.896,.162,.474,432.000,141.890,.650,.449,0,279.190
x,4,16.600,8.498,95.579,13284.716,.140,.411,32.000,60.604,.532,.428,0,126.859
x,5,28.721,16.905,185.828,20714.585,.142,.431,249.000,61.250,.595,.435,0,245.591
x,6,15.249,4.739,10.138,5180.589,.073,.234,16.000,27.787,.248,.187,0,240.516
x,7,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
x,8,20.208,10.333,3.320,4123.342,.141,.416,535.000,150.999,.632,.513,0,58.612
x,9,25.272,12.632,163.630,33527.356,.100,.327,49.000,41.413,.398,.312,0,12.824
x,10,27.521,13.869,141.295,23453.636,.161,.484,483.000,106.614,.550,.443,0,59.163
zig-zag,1,40.112,23.888,340.483,48700.530,.296,.594,332.000,147.943,.959,.662,0,174.087
zig-zag,2,24.112,8.818,39.185,16824.000,.135,.367,650.000,212.142,.682,.464,0,3.969
zig-zag,3,30.965,11.910,120.101,5177.219,.322,.696,866.000,286.332,.652,.431,0,143.953
zig-zag,4,33.887,9.483,176.024,29064.569,.304,.675,516.000,200.496,.377,.346,0,63.410
zig-zag,5,30.749,11.647,56.365,12530.163,.236,.560,433.000,115.212,.535,.411,0,123.729
zig-zag,6,33.878,13.651,71.906,27588.968,.155,.418,584.000,172.469,.508,.456,0,30.942
zig-zag,7,32.495,13.122,101.916,19927.879,.241,.570,265.000,109.921,.288,.262,0,23.719
zig-zag,8,17.734,8.543,70.821,2859.000,.254,.584,267.000,133.282,.353,.336,0,25.955
zig-zag,9,10.860,4.202,43.944,6962.145,.122,.316,34.000,30.950,.350,.271,0,.403
zig-zag,10,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
,,,,,,,,,,,,,
