GestureType,No,ShE,ShV,LE,SzE,BE,BV,TE,TV,VE,VV,SkE,SkOE
x,5,23.448,8.790,90.701,8010.147,.109,.247,132.000,19.095,1.522,3.944,0,242.644
x,6,22.309,9.719,46.291,9967.465,.109,.311,51.000,11.064,1.386,3.911,0,256.642
x,7,42.230,15.689,227.749,12974.861,.194,.527,336.000,88.828,1.344,3.736,0,153.685
x,8,31.770,15.307,229.476,26839.561,.126,.351,285.000,66.793,1.347,3.977,0,141.418
x,9,35.930,17.370,161.056,6253.499,.225,.573,316.000,67.289,1.253,3.879,0,533.699
x,10,49.425,28.196,341.113,29800.831,.169,.487,379.000,93.849,1.372,3.844,0,176.104
zig-zag,1,25.906,10.418,68.770,5733.357,.197,.351,316.000,95.498,.513,1.405,0,7.566
zig-zag,2,24.636,12.237,74.125,11640.904,.228,.416,10.000,17.957,.499,1.243,0,94.579
zig-zag,3,21.150,10.040,92.280,619.237,.148,.265,84.000,34.461,.465,1.383,0,.000
zig-zag,4,27.641,12.119,5.751,4280.339,.185,.274,181.000,48.911,.546,.898,0,15.708
zig-zag,5,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
zig-zag,6,25.332,10.474,81.217,11257.952,.232,.417,123.000,35.816,.542,1.360,0,76.916
zig-zag,7,23.821,18.077,4.574,2471.309,.194,.371,104.000,31.378,.514,.927,0,234.677
zig-zag,8,22.319,12.962,39.152,9831.351,.200,.325,65.000,20.874,.579,1.390,0,4.746
zig-zag,9,18.853,8.655,26.083,8348.339,.147,.258,259.000,136.772,.316,.307,0,.000
zig-zag,10,30.448,10.792,32.774,7276.927,.191,.348,2.000,25.029,.511,.868,0,87.733
,,,,,,,,,,,,,
